Country_Name;Country_Code;Continent_Name;Continent_Code;Population_1960;Population_2018;GDP_per_capita_1960;GDP_per_capita_2018;Life_expectancy_at_birth_1960;Life_expectancy_at_birth_2018
Bhutan;BTN;Asia;AS;223288;754394;;2752.664208;34.526;71.46
Bolivia;BOL;Americas;SA;3656955;11353142;102.2378902;3035.972215;41.82;71.239
Bosnia and Herzegovina;BIH;Europe;EU;3225668;3323929;;4727.277381;60.353;77.262
Botswana;BWA;Africa;AF;502745;2254126;60.49251407;6799.875234;49.179;69.275
Brazil;BRA;Americas;SA;72179226;209469333;210.1098994;8814.000987;54.143;75.672
British Virgin Islands;VGB;Americas;NA;8048;29802;;;;
Brunei Darussalam;BRN;Asia;AS;81702;428962;;31164.56203;54.81;75.722
Bulgaria;BGR;Europe;EU;7867374;7025037;;6993.783483;69.24756098;74.86585366
Burkina Faso;BFA;Africa;AF;4829288;19751535;68.42474857;575.3144542;34.432;61.174
Burundi;BDI;Africa;AF;2797932;11175378;70.05173464;305.5497728;41.281;61.247
Cabo Verde;CPV;Africa;AF;201765;543767;;3043.013984;48.461;72.782
Cambodia;KHM;Asia;AS;5722370;16249798;111.3424797;1162.90492;41.242;69.57
Cameroon;CMR;Africa;AF;5176918;25216237;119.5191788;1326.969277;41.785;58.921
Canada;CAN;Americas;NA;17909009;37057765;2259.294285;43495.05439;71.13317073;81.94878049
Cayman Islands;CYM;Americas;NA;7865;64174;;76280.48625;;
Central African Republic;CAF;Africa;AF;1501668;4666377;74.68734697;377.2712538;36.249;52.805
Chad;TCD;Africa;AF;3001609;15477751;104.4715443;775.7075235;38.02;53.977
Channel Islands;CHI;Europe;EU;109420;170499;;;70.739;82.928
Chile;CHL;Americas;SA;8132990;18729160;505.3492012;13574.17183;57.219;80.042
China;CHN;Asia;AS;667070000;1392730000;89.52054151;8033.388043;43.725;76.704
Colombia;COL;Americas;SA;16057724;49648685;251.0413665;6175.87603;57.269;77.109
Comoros;COM;Africa;AF;191121;832322;;1242.102885;41.447;64.118
Congo, Dem. Rep.;COD;Africa;AF;15248251;84068091;220.3140621;497.3169608;41.098;60.368
Congo, Rep.;COG;Africa;AF;1018253;5244363;129.3704635;1761.32357;45.721;64.29
Costa Rica;CRI;Americas;NA;1330782;4999441;381.3651146;11299.13554;60.381;80.095
Cote d'Ivoire;CIV;Africa;AF;3503553;25069229;155.8998998;1426.457864;36.095;57.422
Croatia;HRV;Europe;EU;4140181;4087843;;11782.90255;64.60865854;78.07073171
Cuba;CUB;Americas;NA;7141250;11338138;;7694.01192;63.834;78.726
Curacao;CUW;Americas;NA;124826;159800;;19951.3279;;
Cyprus;CYP;Europe;EU;572930;1189265;;23333.71491;69.618;80.828
Czech Republic;CZE;Europe;EU;9602006;10629928;;17715.61685;70.34878049;78.97804878
Denmark;DNK;Europe;EU;4579603;5793636;;53254.856;72.17658537;81.35121951
Djibouti;DJI;Africa;AF;83636;958920;;2675.605374;44.038;66.582
Dominica;DMA;Americas;NA;60011;71625;;7596.435062;;
Dominican Republic;DOM;Americas;NA;3294224;10627165;204.1147475;6921.517371;51.602;73.892
Ecuador;ECU;Americas;SA;4543666;17084357;455.4615868;6124.491643;52.982;76.8
Egypt, Arab Rep.;EGY;Africa;AF;26632894;98423595;;3598.970948;48.042;71.825
El Salvador;SLV;Americas;NA;2766324;6420744;;3705.540002;49.95;73.096
Equatorial Guinea;GNQ;Africa;AF;255333;1308974;;11283.46561;36.535;58.402
Eritrea;ERI;Africa;AF;1007590;;;;38.419;65.941
